Class Name,Subject Name,Chapter Name
Class 1,Hindi,1. आओ दोहराएँ
Class 1,Hindi,6. लिंग
Class 1,Hindi Grammar,1. भाषा
Class 1,Hindi Grammar,2. वर्ण और वर्णमाला
Class 1,Hindi Grammar,3. शब्द और वाक्य
Class 1,English,5. My World
Class 1,English,3. We Live Together
Class 1,English,2. My house
Class 1,English,9. Places Around Me
Class 1,English,11. The Wheels On The Bus
Class 1,English,12. Going To School
Class 1,English,14. Gopi Flies a Kite
Class 1,English,15. Mohan and Vinayak
Class 1,English,"13. Haribhai, the Milkman"
Class 1,English,8. Tension Little Fingers
Class 1,English,4. Bajri Rotis
Class 1,English,1. My family
Class 1,English,10. The Village Market
Class 1,English,7. My Classroom
Class 1,English,6. My Pet Animals
Class 1,English Grammar,8. Doing Words
Class 1,English Grammar,"9. Is, Am, Are"
Class 1,English Grammar,7. He-group and She-group Words
Class 1,English Grammar,"5. I, You, He, She, It"
Class 1,English Grammar,2. Naming words
Class 1,English Grammar,3. Common and Proper Naming Words
Class 1,English Grammar,4. One and Many
Class 1,English Grammar,1. Letters of the English Alphabet
Class 1,English Grammar,16. The Sentence
Class 1,English Grammar,13. Describing Words
Class 1,English Grammar,"11. Has, Have"
Class 1,English Grammar,"10. Is, Am, Are + Verb + ing"
Class 1,English Grammar,"12. A, An, The"
Class 1,English Grammar,"14. This, That, These, Those"
Class 1,English Grammar,20. Composition
Class 1,English Grammar,19. Reading Comprehension
Class 1,English Grammar,18. Word Power
Class 1,English Grammar,"15. In, On, Under, Over, Near"
Class 1,English Grammar,17. And
Class 1,English Grammar,7. He-group and She-group Words
Class 1,English Grammar,"6. We, You, They"
Class 1,Mathematics,1. Numbers upto 20
Class 1,Mathematics,2. Adding Numbers upto 20
Class 1,Mathematics,3. Subtraction Numbers upto 20
Class 1,Mathematics,4. Shapes and Patterns
Class 1,Sst,1.About Myself
Class 1,Sst,2.We Need F00d
Class 1,Sst,3.Our Clothes
Class 1,Comp,5. Data and Storage Devices
Class 1,Comp,4. Using a Mouse
Class 1,Comp,6. Introduction to Paint
Class 1,Comp,7. Let's Code: ScratchJr
Class 1,Comp,8. My AI Pal
Class 1,Comp,2. Parts of a computer
Class 1,Comp,3. Knowing a Keyboard
Class 1,Comp,1. Computer - A Smart Device
Class 1,Conversation,7. Parts of the Body
Class 1,Conversation,4. My Classroom
Class 1,Conversation,6. My Family
Class 1,Conversation,2. About Me
Class 1,Conversation,3. My School
Class 1,Conversation,1. Good Morning
Class 1,Conversation,5. My House
Class 1,Conversation,8. Food
Class 1,Conversation,11. Young Ones of Animals
Class 1,Conversation,19. Months of the Year
Class 1,Conversation,9. Birds
Class 1,Conversation,18. The Sun
Class 1,Conversation,10. Animals
Class 1,Conversation,16. Rules of safety
Class 1,Conversation,14. Different Works
Class 1,Conversation,15. Good Habits
Class 1,Conversation,13. Colours
Class 1,Conversation,17. Festivals
Class 1,Conversation,21. Good Night
Class 1,Conversation,20. Days of the Week
Class 1,Conversation,12. Water
Class 1,GK,26. Easy Pose
Class 1,GK,29. Pat Head/Rub Tummy
Class 1,GK,27. House
Class 1,GK,25. Rolling Log
Class 1,GK,6. Vegetables
Class 1,GK,2. Homework
Class 1,GK,5. The Seasons
Class 1,GK,1. I'm the Best Me!
Class 1,GK,3. The Earth
Class 1,GK,7. Fruits
Class 1,GK,8. Useful Animals
Class 1,GK,9. Wild Animals
Class 1,GK,10. Neighbourhood
Class 1,GK,24. Butterfly
Class 1,GK,30. The Ant and the Grasshopper
Class 1,GK,28. Lion
Class 1,GK,23. Bus/Bumpy Truck
Class 1,GK,20. Famous Players
Class 1,GK,21. Indoor Games
Class 1,GK,22. Bumble Bee
Class 1,GK,19. Important Days
Class 1,GK,16. Common Tools
Class 1,GK,15. In The Sky
Class 1,GK,18. Immortal Indian Artists
Class 1,GK,14. Famous Monuments
Class 1,GK,12. Vehicles
Class 1,GK,11. Around the House
Class 1,GK,13. India and Immortal Indians
Class 1,GK,17. Our Festivals
Class 1,GK,4. Water Bodies
Class 2,English Grammar,16. Had
Class 2,English Grammar,"6. I, We, You, He, She, It, They"
